agent_id,owner,registered_at,reg_tx
34453,0x174021e3337f4cd12d357452e4b896592f9a3e6b,2026-06-13 05:55:23+00:00,0x68606ac32f49ec8b1a31c5662432e70a969c717ab6a4bb9befefea31c65c8697
34002,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-28 21:19:23+00:00,0xe131f2a8b7222203fb9bc04d18a92fa12ea805f4eff9da9879c345463cca22e0
34030,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-30 22:01:47+00:00,0x2011f8926aff5c01bdbad6ea443fdfc87958bc7dd34d521f17af9e1c41af7383
33047,0x7117246176a3bcbcb33b3b7144d5494f250c221e,2026-05-20 05:31:47+00:00,0xd6f19653fb879f87bb3e4af53ebe7b34608e311312797e7b74744175f7ef760e
32898,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-17 22:15:23+00:00,0x6a3a176b14193a731cbed7c588368b223ec56576877388186a62ffab5bbb86c2
32897,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-17 22:07:35+00:00,0x3a5c53dd58129773a84a902662d227407a9aa2932ed8adb9bfcfb29b739e4aa5
33264,0x583f328378138c37d940fa3e2206a105fd06d12e,2026-05-21 09:54:23+00:00,0x6ec1158444591b3681faf6f3054d2bd631a9aaaaa261ed5c03e76986e7af1074
33265,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 10:57:11+00:00,0xeb069d58083ccbd07f616d46ffd113fff5ccbae7b5aa7d39e7424535363e16e1
33266,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 10:57:47+00:00,0xdd245d16513bd59a6bae3af1cb6fdf787bae9ee2effa4fb21348b65e335d50d6
33267,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 10:58:35+00:00,0xc8653bcbc602bdf7e072a8aa6d34c555539b8e13d9ebcd214d0a3fff93bd68ef
33268,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 10:59:23+00:00,0x6f12ef40f2206cd636c6ecfd7d0844efc1611d38e9565c62e9771e81e7b219ae
33269,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:00:11+00:00,0xb2bd4c1409a057c7ea9628a2a04beed4a97c54351bf258498a7cf4dec25b7551
33270,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:01:23+00:00,0xc177e1455843f38d870a9cfae01c47612fc7f4d32b6cdf09a7d0f57e61400652
33271,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:01:59+00:00,0x130d6d651a3ce2de0132bb3bd6552da333fed81b71809e6c3f239addc43ec433
33272,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:02:47+00:00,0xe71d24d7fc288b4a0c8f791ee7fd499b0eacfab7f658266b7dbb7484d1997e71
33273,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:03:23+00:00,0x03c373aae9b3630d11f4f386bba481d99d977d548173837384f53a0de0e02b77
33274,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:03:59+00:00,0x21d2c673d7a9d0f5a2d126e931aa06cc837a6c08fba0ac2377cdc7da42819ddb
33275,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:05:59+00:00,0x9a7d9846634762d6da96bf64f7961c600337c9540ac1b767e7f9cb128c455100
33276,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:06:23+00:00,0xe5539ec206915b6e2b160ada60e24f24029929cb8273436d852d8eb560197bc6
33277,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:07:35+00:00,0x8c9773c9d44c256cbcd7d806a40776eb4cde134c0e0d4b114b5789a5dcd44a75
33278,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:08:11+00:00,0xcd164411b860cf66a6683deaeb11d37d33ac629048a4284e0e863e3893ee0ea2
33279,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-21 11:08:59+00:00,0x773deb28f3a74dacd779e80acbef0e44dd64692229ff81ced1861772e2985a8e
34019,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-30 05:56:35+00:00,0xee25f0734be04d80c04cfa1f1d09bb67679fc3798377fe3b110f41975318cfb0
34009,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-29 09:44:59+00:00,0xb60d5d7c41893de35497ac2c77f2990e5fda15f607439ab439b6b96333ae5d39
33810,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-24 21:47:23+00:00,0x36b1b718e9a73b30fa87fbfa50b285e020eac0605b7b57e67211a0f6439df805
33811,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-24 22:54:23+00:00,0xa2b37d028506aed31da150aed7c9992ccc836a5e89c0e197ceb52a8ae743a962
34336,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-06-09 04:03:59+00:00,0x863538db55bc8698d8fd6aae3a9867a72c65f3ea5830c78da607384c6efa12d2
34337,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-06-09 04:05:11+00:00,0xe649e8b3d38aad89aedfa4a59cd03d7915ac7f411419ec66acc79fb6efc969d4
32944,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-18 21:19:11+00:00,0xd193fa3dabd4fdf05ed0b156f8b7a8ba8f2b9c73ef3b76bb10d1223efb1cb74d
32945,0x671cf64e5c94b8468e6d5dac53aae5b048134f97,2026-05-18 21:21:23+00:00,0xa8a59d8173905d02c035890a2a56da0b50363a98f39952b38994a21cb89b18e5
32946,0x4b78c2dd75d2b41ab0a8a8323f9e113e3e6a0781,2026-05-18 21:26:35+00:00,0xa883750a3e3b657028c9c1a7165abc82f4c9d4c76c26dcb8055dc9417d8321aa
34438,0x00000000000003f1d42d5c6569b2d61729b78c84,2026-06-12 14:35:35+00:00,0x45efe10440bbfe816ff72b35b0e3d27fe2b953994e9fbe929416d009bd748271
33953,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-26 22:15:35+00:00,0x195e039c94e12afac631a77bfd13be4d678d002567cd94e381e969f99dfdf960
33954,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-26 22:23:11+00:00,0x3153bd2961ebda52d65ad35a5ea9599bc43d4865e9551da8da6439ec237d323d
33955,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-27 00:08:35+00:00,0xe25f894c7baaa47b7ca1feb4bf52929bda8780db1855dac7bafd257659c36a05
33080,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-20 16:32:11+00:00,0x832bce02c252bd598059b19144f32c0d295db572d446d138466f1081a03262f0
33079,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-20 16:30:47+00:00,0x03b6647565ac17b74d381753fb57137fa26474cba3d92091606c7697f2aa5292
33081,0x397d7ca3f4acd6a154d3eb0f14e3fdd4de28788b,2026-05-20 16:54:59+00:00,0xd5776ddbac4325d864d906682197a64c731fd1064342a425238700bdc82bf74e
33082,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-20 17:09:11+00:00,0x5860eb18acfd377c6636a2420b0a387e8e8029a5b466487bbbce47724fd0bcb8
33084,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-20 17:45:35+00:00,0x38b32bb70e4ad1421241d705307889560d14aad9b67d7f7f89b126a72f5ef89f
33083,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-20 17:37:35+00:00,0x1d0dc22c59f50dd939a3839073056257ad257b010af32fefd6c1d9e2c8409ceb
33997,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-28 19:15:59+00:00,0x26597e94e8994237c47bebc906208f7bf09c5d73fe7172aaef3739c6a5f06520
33998,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-28 19:20:23+00:00,0xf069d0ca9d6dbad41026554f1dbffb1605dc2aa94097ba87ac0986161465bc4b
33999,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-28 19:20:47+00:00,0x0dab4d4da28e3631480521412e5ab325269242252b76eb1433476cf41279b8d8
34000,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-28 19:32:11+00:00,0xffc2c4cd492568b37089380a668e155c834ce432f72e11e2321f30a2f11eca99
34001,0xeeda685c6021989f9c56fde14fee06906cb04a46,2026-05-28 20:40:47+00:00,0xff3829e33f659daeebf02e7c7074461eb597b9f74da71d4a6f4155977237c58e
32670,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-16 03:44:47+00:00,0x924d8efd2c73d354a0986ab601199cdd2e557452c2bf4e7f344e026d4625b4e5
32671,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-16 04:05:23+00:00,0x928226bbe77add277761d394c38280f789285c6667fd2411e64703788ae8b645
32672,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-16 04:08:23+00:00,0xc50df7b370ceeec9233932a5b812ae1157a9820559b758efb3cf9787d5881fc0
32673,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-16 04:09:47+00:00,0x1a04411211d2fe7a91cd5b2051dca3323b89f0018d3b056db536ca223e84d720
32674,0xde152afb7db5373f34876e1499fbd893a82dd336,2026-05-16 04:14:23+00:00,0xa5549598b15e0dd077e9e1a76a7253b9f7c4fb709b094aabd1b0ff815fe5cba4
