agent_id,feedback_count,unique_clients,avg_score,self_feedback,client_concentration,batch_tx_share,reviewer_ring,score_std,independent_clients,trust_score,trust_mult,flags,name,x402_resolved,services,agent_uri
34135,9.0,7.0,100.0,0.0,0.778,0.0,1.0,0.0,7,100.0,1.0,broad independent client base,Surf AI,False,"web,MCP",https://mcp.surfliquid.com/agent.json
34256,2.0,1.0,85.0,0.0,0.5,0.0,1.0,0.0,1,42.5,0.5,1.0 independent client(s),,,,https://transactai.io/agents/executor.json
32407,1.0,1.0,80.0,0.0,1.0,0.0,1.0,0.0,1,40.0,0.5,1.0 independent client(s),Normie #9387 - Yagar,False,"web,A2A",https://api.normies.art/agents/metadata/9387
2364,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
10307,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22697,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22705,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22739,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22754,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22758,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22759,2.0,1.0,100.0,0.0,0.5,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22788,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22795,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22814,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22839,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
22846,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
25067,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
25490,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
27432,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
28359,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29005,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29010,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29052,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29054,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29056,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29059,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29061,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29062,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29063,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
31860,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
31921,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32156,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32965,1.0,1.0,100.0,0.0,1.0,0.0,101.0,0.0,0,5.0,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),Buyer,True,,"data:application/json;base64,eyJ0eXBlIjoiaHR0cHM6Ly9laXBzLmV0aGVyZXVtLm9yZy9FSVBTL2VpcC04MDA0I3JlZ2lzdHJhdGlvbi12MSIsIm5hbWUiOiJCdXllciIsImRlc2NyaXB0aW9uIjoiQnV5ZXIgLSBtYXJrZXRpbmcgQUkgZW1wbG95ZWUiLCJpbWFnZSI6Ii91cGxvYWRzL2F2YXRhcnMvNmZkODFiZWQtMGRkMy00YTBlLWJiYzctMmM0NjExNDQxYjM5LTE3NzkxODgyNTcwMzYuanBnIiwic2VydmljZXMiOlt7Im5hbWUiOiJBMkEiLCJlbmRwb2ludCI6Imh0dHBzOi8vd29ya2FnbnQuYWkvYXBpL2FnZW50cy9wdWJsaWMvYnV5ZXItZWRhYTMxL2FnZW50LWNhcmQiLCJ2ZXJzaW9uIjoiMC4zLjAiLCJhMmFTa2lsbHMiOlsibmF0dXJhbF9sYW5ndWFnZV9wcm9jZXNzaW5nL25hdHVyYWxfbGFuZ3VhZ2VfZ2VuZXJhdGlvbi9zdW1tYXJpemF0aW9uIl19LHsibmFtZSI6Ik9BU0YiLCJlbmRwb2ludCI6Imh0dHBzOi8vZ2l0aHViLmNvbS9hZ250Y3kvb2FzZi8iLCJ2ZXJzaW9uIjoiMC44LjAiLCJza2lsbHMiOlsibmF0dXJhbF9sYW5ndWFnZV9wcm9jZXNzaW5nL25hdHVyYWxfbGFuZ3VhZ2VfZ2VuZXJhdGlvbi9zdW1tYXJpemF0aW9uIl0sImRvbWFpbnMiOlsibWVkaWFfYW5kX2VudGVydGFpbm1lbnQvY29udGVudF9jcmVhdGlvbiJdfSx7Im5hbWUiOiJ3ZWIiLCJlbmRwb2ludCI6Imh0dHBzOi8vd29ya2FnbnQuYWkvZS9idXllci1lZGFhMzEifV0sImFjdGl2ZSI6dHJ1ZSwieDQwMlN1cHBvcnQiOnRydWUsInN1cHBvcnRlZFRydXN0IjpbInJlcHV0YXRpb24iXX0="
26345,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
26346,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
28464,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
28488,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
28947,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29033,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29034,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29039,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29064,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29091,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
29403,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
31786,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
31873,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
31884,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32038,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32057,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32303,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32340,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),,,,
32355,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),Normie #6352 - Inven,False,"web,A2A",https://api.normies.art/agents/metadata/6352
32362,1.0,1.0,95.0,0.0,1.0,0.0,101.0,0.0,0,4.75,0.05,ring-only reviewers; reviewed by ring wallet (breadth 101),Normie #4354 - Zori,False,"web,A2A",https://api.normies.art/agents/metadata/4354
